,sample,filter,JP from Inter NF,JP from JP NF,GP from Inter NF,GP from GP NF,ff,fb
115,TCGAA2A0D201A21RA03407,0A53XGA,0,37,0,2,"(0, Any, 5)","(3, 10)"
116,TCGAA2A0D201A21RA03407,0AN1AGA,1,549,0,3,"(0, Any, None)","(1, Any)"
117,TCGAA2A0D201A21RA03407,0251XGA,0,6,0,0,"(0, 2, 5)","(1, 10)"
118,TCGAA2A0D201A21RA03407,02512GA,0,6,0,0,"(0, 2, 5)","(1, 2)"
119,TCGAA2A0D201A21RA03407,0AN3AGA,1,1003,0,6,"(0, Any, None)","(3, Any)"
120,TCGAA2A0D201A21RA03407,0AN1XGA,1,549,0,3,"(0, Any, None)","(1, 10)"
121,TCGAA2A0D201A21RA03407,0AN01GA,1,543,0,3,"(0, Any, None)","(0, 1)"
122,TCGAA2A0D201A21RA03407,02532GA,0,8,0,0,"(0, 2, 5)","(3, 2)"
123,TCGAA2A0D201A21RA03407,0211XGA,0,15,2,0,"(0, 2, 1)","(1, 10)"
124,TCGAA2A0D201A21RA03407,02132GA,0,24,6,1,"(0, 2, 1)","(3, 2)"
125,TCGAA2A0D201A21RA03407,0253AGA,0,8,2,0,"(0, 2, 5)","(3, Any)"
126,TCGAA2A0D201A21RA03407,0A53AGA,0,50,0,2,"(0, Any, 5)","(3, Any)"
127,TCGAA2A0D201A21RA03407,0A11AGA,1,63,0,0,"(0, Any, 1)","(1, Any)"
128,TCGAA2A0D201A21RA03407,0211AGA,0,15,2,0,"(0, 2, 1)","(1, Any)"
129,TCGAA2A0D201A21RA03407,0A532GA,0,17,0,1,"(0, Any, 5)","(3, 2)"
130,TCGAA2A0D201A21RA03407,02101GA,0,15,2,0,"(0, 2, 1)","(0, 1)"
131,TCGAA2A0D201A21RA03407,0A51XGA,0,11,0,0,"(0, Any, 5)","(1, 10)"
132,TCGAA2A0D201A21RA03407,0A132GA,1,100,0,1,"(0, Any, 1)","(3, 2)"
133,TCGAA2A0D201A21RA03407,0A512GA,0,11,0,0,"(0, Any, 5)","(1, 2)"
134,TCGAA2A0D201A21RA03407,0AN3XGA,1,949,0,6,"(0, Any, None)","(3, 10)"
135,TCGAA2A0D201A21RA03407,0A101GA,1,60,0,0,"(0, Any, 1)","(0, 1)"
136,TCGAA2A0D201A21RA03407,0AN32GA,1,680,0,4,"(0, Any, None)","(3, 2)"
137,TCGAA2A0D201A21RA03407,0A13XGA,1,229,0,3,"(0, Any, 1)","(3, 10)"
138,TCGAA2A0D201A21RA03407,0213XGA,0,36,18,3,"(0, 2, 1)","(3, 10)"
139,TCGAA2A0D201A21RA03407,0A112GA,1,63,0,0,"(0, Any, 1)","(1, 2)"
140,TCGAA2A0SX01A12RA08407,0A11XGA,1,63,1,2,"(0, Any, 1)","(1, 10)"
141,TCGAA2A0SX01A12RA08407,02532GA,0,2,0,1,"(0, 2, 5)","(3, 2)"
142,TCGAA2A0SX01A12RA08407,0A512GA,1,9,1,2,"(0, Any, 5)","(1, 2)"
143,TCGAA2A0SX01A12RA08407,0AN3XGA,4,886,1,12,"(0, Any, None)","(3, 10)"
144,TCGAA2A0SX01A12RA08407,0A53AGA,2,64,2,5,"(0, Any, 5)","(3, Any)"
145,TCGAA2A0SX01A12RA08407,0AN1AGA,3,523,1,6,"(0, Any, None)","(1, Any)"
