sample	libsize_75percent
SRR1076072.all	187989.5
SRR1076096.all	213773.5
SRR1076120.all	347015.25
SRR1076144.all	236842.0
SRR1076170.all	332800.75
SRR1076195.all	226275.75
SRR1076219.all	291180.25
SRR1076244.all	105419.75
SRR1076268.all	209521.5
SRR1076292.all	275913.0
SRR1076317.all	339110.0
SRR1076343.all	249521.0
SRR1076369.all	266937.0
SRR1076393.all	174153.25
SRR1076417.all	150808.25
SRR1076441.all	262866.75
SRR1076465.all	256049.25
SRR1076490.all	292668.25
SRR1076511.all	173447.25
SRR1076535.all	236467.75
SRR1076559.all	298693.75
SRR1076584.all	236076.5
SRR1076608.all	304353.0
SRR1076632.all	294080.25
SRR1076657.all	239726.5
SRR1076681.all	186807.5
SRR1076705.all	174948.5
SRR1076729.all	185872.25
SRR1076753.all	198118.75
SRR1076779.all	131410.0
SRR1076801.all	210927.75
SRR1076823.all	200414.5
SRR1076847.all	35569.75
SRR1076868.all	152186.5
SRR1076892.all	264755.25
SRR1076916.all	225289.5
SRR1076940.all	175705.5
SRR1076964.all	170193.5
SRR1076990.all	198653.25
SRR1077038.all	266892.75
SRR1077066.all	228529.25
SRR1077090.all	240481.75
SRR1077115.all	173600.5
SRR1077139.all	269679.5
SRR1077159.all	346613.75
SRR1077183.all	234852.5
SRR1077211.all	261984.75
SRR1077239.all	241253.75
SRR1077263.all	228899.5
SRR1077288.all	176101.75
SRR1077310.all	177199.75
SRR1077334.all	263718.0
SRR1077356.all	217896.75
SRR1077380.all	281144.25
SRR1077405.all	72558.75
SRR1077429.all	223974.5
SRR1077455.all	244026.25
SRR1077479.all	184489.0
SRR1077503.all	111441.0
SRR1077528.all	144779.5
SRR1077549.all	236929.0
SRR1077575.all	244290.0
SRR1077599.all	232699.25
SRR1077619.all	218947.75
SRR1077643.all	197295.75
SRR1077667.all	169859.0
SRR1077687.all	175430.5
SRR1077708.all	214414.75
SRR1077728.all	293641.0
SRR1077753.all	287102.0
SRR1077781.all	192367.75
SRR1077805.all	160082.0
SRR1077826.all	285251.0
SRR1077850.all	203649.75
SRR1077874.all	238988.5
SRR1077898.all	258166.75
SRR1077920.all	259695.75
SRR1077944.all	213683.0
SRR1077968.all	217102.0
SRR1077992.all	355257.75
SRR1077996.all	250656.0
SRR1078020.all	279330.25
SRR1078042.all	209612.75
SRR1078066.all	119254.25
SRR1078090.all	128861.75
SRR1078114.all	208880.25
SRR1078140.all	211189.75
SRR1078164.all	266092.25
SRR1078188.all	259352.75
SRR1078212.all	239478.75
SRR1078234.all	250132.75
SRR1078258.all	231338.5
SRR1078278.all	272269.5
SRR1078299.all	269678.5
SRR1078323.all	235439.75
SRR1078347.all	157571.25
SRR1078368.all	399349.75
SRR1078392.all	332078.75
SRR1078417.all	197981.75
SRR1078439.all	249712.75
SRR1078465.all	264569.5
SRR1078489.all	255468.5
SRR1078514.all	172139.5
SRR1078538.all	185886.5
SRR1078562.all	236300.0
SRR1078586.all	207513.75
SRR1078612.all	370510.0
SRR1078636.all	257298.0
SRR1078660.all	215773.75
SRR1078684.all	259513.0
SRR1078709.all	194819.75
SRR1078735.all	190098.75
SRR1078759.all	168308.25
SRR1078783.all	217058.0
SRR1078809.all	227201.25
SRR1078834.all	173928.0
SRR1078855.all	196637.75
SRR1078879.all	251600.0
SRR1078903.all	184262.75
SRR1078924.all	291308.75
SRR1078948.all	207104.0
SRR1078972.all	220989.0
SRR1078998.all	335147.75
SRR1079023.all	219671.0
SRR1079046.all	260281.0
SRR1079070.all	204435.75
SRR1079094.all	192862.25
SRR1079118.all	300012.25
SRR1079143.all	230040.5
SRR1079168.all	112324.5
SRR1079189.all	261963.75
SRR1079213.all	308351.25
SRR1079237.all	246674.0
SRR1079259.all	114777.0
SRR1079281.all	176661.5
SRR1079306.all	249377.25
SRR1079330.all	291719.0
SRR1079356.all	231378.0
SRR1079380.all	195547.75
SRR1079404.all	392617.75
SRR1079408.all	323800.0
SRR1079434.all	204934.25
SRR1079455.all	450438.5
SRR1079480.all	259098.0
SRR1079502.all	213518.5
SRR1079522.all	190339.5
SRR1079543.all	153631.0
SRR1079567.all	215976.0
SRR1079591.all	175040.25
SRR1079612.all	252620.0
SRR1079636.all	252447.5
SRR1079660.all	111958.75
SRR1079686.all	210799.25
SRR1079706.all	219286.75
SRR1079730.all	176313.0
SRR1079754.all	114270.0
SRR1079782.all	237866.5
SRR1079806.all	186818.0
SRR1079830.all	256409.0
SRR1079850.all	243413.75
SRR1079874.all	172233.25
SRR1079900.all	122365.25
SRR1079924.all	251568.0
SRR1079948.all	355696.25
SRR1079973.all	285055.75
SRR1079998.all	247229.0
SRR1080022.all	280158.75
SRR1080044.all	393887.75
SRR1080048.all	247785.25
SRR1080072.all	193273.0
SRR1080093.all	215836.0
SRR1080117.all	119459.75
